Video,Duration,Channel Name,Linked Status,Impr.,Views,View rate,Avg. CPV,Cost,Earned views
What is Analytics? | SLC BUSINESS VLOG 041,2:46,Alton Alexander's Daily Vlog from SLC,Linked,526,145,27.57%,$0.01,$2.02,0
WORK ETHIC | SLC BUSINESS VLOG 046,2:18,Alton Alexander's Daily Vlog from SLC,Linked,2551,876,34.34%,$0.01,$13.07,0
Authenticity is a key to successful business | SLC BUSINESS VLOG 045,3:36,Alton Alexander's Daily Vlog from SLC,Linked,479,201,41.96%,$0.01,$3.01,0
The climb from downtown to I-street jumps | SLC VLOG 048,3:09,Alton Alexander's Daily Vlog from SLC,Linked,115,51,44.35%,$0.01,$0.74,0
TRUST | ALTON ALEXANDER 038,4:13,Alton Alexander's Daily Vlog from SLC,Linked,123,44,35.77%,$0.01,$0.65,0
What's new this spring? | SLC BUSINESS VLOG 049,1:24,Alton Alexander's Daily Vlog from SLC,Linked,4574,1471,32.16%,$0.01,$18.85,0
What you need to know to hire a data intern | SLC BUSINESS VLOG 055,3:01,Alton Alexander's Daily Vlog from SLC,Linked,760,244,32.11%,$0.01,$3.44,0
5 TOOLS THAT EVERY DATA SCIENTIST NEEDS | SLC BUSINESS VLOG 052,2:57,Alton Alexander's Daily Vlog from SLC,Linked,808,270,33.42%,$0.01,$3.72,0
THE GOAL | SLC BUSINESS VLOG 059,1:04,Alton Alexander's Daily Vlog from SLC,Linked,0,0,0.00%,$0.00,$0.00,0
DATA PIPELINES WITHIN BUSINESS | SLC BUSINESS VLOG 058,3:31,Alton Alexander's Daily Vlog from SLC,Linked,0,0,0.00%,$0.00,$0.00,0
WILL A CONSULTANT HELP? | SLC BUSINESS VLOG 071,3:43,Alton Alexander's Daily Vlog from SLC,Linked,0,0,0.00%,$0.00,$0.00,0
How to scale your business by selling new products to new customers | BUSINESS VLOG 039,3:40,Alton Alexander's Daily Vlog from SLC,Linked,15001,7324,48.82%,$0.01,$96.13,5
A NEW GOAL | SLC BUSINESS VLOG 047,1:13,Alton Alexander's Daily Vlog from SLC,Linked,1647,398,24.17%,$0.01,$5.19,0
Why you should start a master mind group | ALTON ALEXANDER 036,1:58,Alton Alexander's Daily Vlog from SLC,Linked,2392,651,27.22%,$0.01,$9.34,0
Running a youtube video ad experiment to drive more views | SLC BUSINESS VLOG 042,2:48,Alton Alexander's Daily Vlog from SLC,Linked,209,61,29.19%,$0.01,$0.81,0
First Episode | VLOG 001,1:19,Alton Alexander's Daily Vlog from SLC,Linked,1117,358,32.05%,$0.01,$5.08,0
I GOT MAIL! | SLC BUSINESS VLOG 044,1:20,Alton Alexander's Daily Vlog from SLC,Linked,1138,348,30.58%,$0.01,$4.51,0
How Front Analytics became the company it is today | SLC BUSINESS VLOG 043,4:19,Alton Alexander's Daily Vlog from SLC,Linked,101,47,46.53%,$0.01,$0.64,0
TRACTION | ALTON ALEXANDER 037,2:50,Alton Alexander's Daily Vlog from SLC,Linked,537,128,23.84%,$0.02,$2.06,0
TURNING BUISNESS INTO ART | ALTON ALEXANDER 029,2:35,Alton Alexander's Daily Vlog from SLC,Linked,581,173,29.78%,$0.01,$2.35,0
GETTING THE MOST OUT OF YOUR DATA SCIENTIST | SLC BUSINESS VLOG 051,3:47,Alton Alexander's Daily Vlog from SLC,Linked,193,61,31.61%,$0.01,$0.88,0
How to get started with deep learning and AI | VLOG 056,2:14,Alton Alexander's Daily Vlog from SLC,Linked,2609,631,24.19%,$0.01,$8.72,0
The biggest mistake when starting a buisness | SLC VLOG 054,1:50,Alton Alexander's Daily Vlog from SLC,Linked,3009,672,22.33%,$0.01,$9.67,0
